"A character mid-air, arms flung wide, legs kicking back, face beaming with a wide grin."
"A figure slumped on the ground, knees to chest, head buried in arms, shoulders hunched."
"A character standing rigid, fists balled at sides, jaw clenched, eyes narrowed in anger."
"A figure leaning against a wall, one hand on chin, eyes gazing upward in quiet contemplation."
"A character spinning with arms outstretched, head tilted back, laughing freely."
"A figure pacing, hands twisting together, brows furrowed, lips pursed in worry."
"A character with arms crossed, weight on one hip, chin raised with a defiant smirk."
"A figure standing still, arms limp, head tilted, staring at the ground with a somber expression."
"A character kneeling, hands clutching head, body trembling as if overwhelmed."
"A figure reaching skyward on tiptoes, one arm extended, eyes wide with hope."
"A character skipping, one leg lifted, arms swinging, face lit with a playful grin."
"A figure turned away, head bowed, arms wrapped tightly around themselves, shrinking inward."
"A character leaning forward, pointing eagerly, eyes bright with excitement."
"A figure crumpled forward, hands covering face, shoulders shaking with silent sobs."
"A character striding forward, hands in pockets, head high, lips curled in confidence."
"A figure sitting cross-legged, hands resting on knees, eyes closed in calm meditation."
"A character throwing arms up in frustration, head tilted back, mouth open in a shout."
"A figure curled up in a chair, arms hugging legs, eyes staring blankly ahead."
"A character jumping with both feet off the ground, fists pumping, face alight with triumph."
"A figure leaning on a railing, head resting on folded arms, gazing wistfully into the distance."
"A character stomping forward, arms swinging, face twisted in righteous indignation."
"A figure sitting with elbows on knees, hands clasped, staring intently at the floor in focus."
"A character dancing with one hand on hip, the other waving, face glowing with joy."
"A figure standing with hands on hips, head tilted, eyes rolling in exasperation."
"A character collapsed on their back, arms spread, staring at the sky with a defeated sigh."
"A figure reaching out with both hands, eyes pleading, body leaning forward desperately."
"A character bouncing on their toes, hands clasped under chin, eyes sparkling with anticipation."
"A figure hiding behind a wall, one hand gripping the edge, eyes wide with fear."
"A character twirling hair with one finger, leaning forward, lips curved in a shy smile."
"A figure slumped over a table, head resting on arms, eyes half-closed in exhaustion."
"A character thrusting a fist forward, body angled, face fierce with determination."
"A figure sitting on the edge of a seat, hands gripping thighs, eyes darting nervously."
"A character arms raised in surrender, shoulders slouched, face etched with resignation."
"A figure spinning in place, arms hugging themselves, face radiant with self-assured glee."
"A character crouching low, hands shielding head, body tense with panic."
"A figure leaning back, hands behind head, legs crossed, smirking with smug satisfaction."
"A character reaching for another’s hand, body angled forward, eyes soft with affection."
"A figure standing with hands clasped behind back, head bowed, face heavy with guilt."
"A character leaping with one arm extended, the other bent, face alive with exhilaration."
"A figure sitting with legs dangling, hands folded in lap, eyes lost in nostalgic reverie."
"A character slamming a fist on a surface, body leaning forward, face contorted in rage."
"A figure leaning against a tree, one knee bent, eyes closed with a peaceful smile."
"A character twirling with one arm extended, the other bent, face dreamy with contentment."
"A figure cowering, arms shielding face, body shrinking back in terror."
"A character standing tall, hands on chest, eyes gleaming with pride."
"A figure sitting with head in hands, elbows on knees, face hidden in despair."
"A character running with arms pumping, head forward, face focused with urgency."
"A figure leaning forward, hands clasped, eyes wide with curiosity."
"A character standing with arms limp, head tilted back, eyes closed in quiet relief."
"A figure spinning with one leg extended, arms wide, face alight with carefree abandon."
"make the character raise her right hand in a peace sign while winking with her left eye"
"make the character place both hands on her cheeks with a surprised wide-eyed expression"
"make the character cross her arms and smirk slightly with one eyebrow raised"
"make the character extend her left arm forward with an open palm while laughing joyfully"
"make the character place one hand under her chin and tilt her head with a soft smile"
"make the character stretch both arms high above her head with a huge open-mouthed grin"
"make the character puff out her cheeks and cross her eyes while pointing both index fingers at her temples"
"make the character throw her hands dramatically over her heart with a mock swooning expression"
"make the character open her mouth wide in fake shock while spreading her fingers across her face"
"make the character scrunch up her nose, stick out her tongue, and make claw shapes with her hands"
"make the character lean forward with wide eyes and hands cupped around her mouth as if yelling"
"make the character raise both fists in the air with a triumphant grin and squinting eyes"
"make the character grab both sides of her head with a wild, exaggerated panic expression"
"make the character do double finger guns with a huge wink and exaggerated smirk"
"make the character press her palms together under her chin and make an overly sweet, pleading face"
